YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1987,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.69,999.90,999.90,999.90,999.90,999.90
1988,27.59,999.90,999.90,999.90,999.90,999.90,24.99,24.38,999.90,999.90,26.78,26.99,27.85,999.90,25.07,999.90,999.90
1989,26.24,28.16,27.61,28.03,26.88,25.98,25.07,24.54,25.13,25.97,27.89,27.65,27.13,27.51,25.20,26.33,26.54
1990,26.94,27.42,28.86,27.43,26.88,26.29,24.25,24.10,999.90,26.45,27.44,27.12,27.34,27.72,24.88,26.52,26.62
1991,28.05,27.96,999.90,27.30,27.10,26.46,25.02,24.57,25.97,25.88,27.23,999.90,27.71,27.41,25.35,26.36,26.71
1992,27.09,28.24,28.05,999.90,999.90,999.90,999.90,24.41,999.90,26.59,999.90,27.34,27.58,999.90,999.90,999.90,999.90
1993,999.90,28.17,999.90,999.90,999.90,26.55,24.68,24.65,25.78,999.90,27.49,27.57,27.63,999.90,25.29,26.60,26.87
1994,27.46,27.95,28.29,28.35,999.90,999.90,24.65,24.66,25.16,26.15,27.93,999.90,27.66,28.02,25.04,26.41,26.78
1995,999.90,999.90,27.69,28.31,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.70,999.90,999.90,999.90
1996,999.90,999.90,999.90,999.90,999.90,999.90,25.21,24.30,999.90,999.90,999.90,999.90,999.90,999.90,25.14,999.90,999.90
1997,27.01,999.90,27.23,27.07,26.61,25.26,24.83,24.68,26.68,26.85,27.60,999.90,999.90,26.97,24.92,27.04,26.60
1998,999.90,29.13,29.87,29.53,27.79,26.66,25.34,999.90,25.74,26.70,27.94,27.68,999.90,29.06,25.73,26.79,27.48
1999,27.32,27.68,28.35,999.90,27.79,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.56,28.17,999.90,999.90,999.90
2000,27.59,999.90,999.90,999.90,999.90,26.05,24.95,999.90,999.90,999.90,999.90,27.46,999.90,999.90,25.23,999.90,999.90
2001,27.35,28.15,28.12,28.11,27.69,999.90,24.95,24.43,999.90,999.90,999.90,999.90,27.65,27.97,25.07,999.90,26.80
2002,27.25,28.05,999.90,28.05,27.95,999.90,999.90,999.90,25.95,26.80,27.70,27.79,27.56,28.21,999.90,26.82,26.99
2003,28.09,28.29,29.14,27.97,28.03,25.99,25.74,25.14,26.24,27.24,27.64,28.03,28.06,28.38,25.62,27.04,27.27
2004,28.23,28.73,29.43,28.48,27.42,26.03,25.38,24.98,26.38,26.73,28.08,28.22,28.33,28.44,25.46,27.06,27.32
2005,27.72,29.27,28.57,28.62,27.72,25.87,25.47,24.82,26.32,26.94,27.82,27.92,28.40,28.30,25.39,27.03,27.28
2006,28.22,28.72,28.57,28.89,27.32,26.82,26.02,25.27,25.97,26.97,28.12,27.86,28.29,28.26,26.04,27.02,27.40
2007,27.81,28.51,28.66,28.81,28.21,26.11,25.16,25.56,25.86,26.76,999.90,999.90,28.06,28.56,25.61,26.77,27.25
2008,999.90,999.90,999.90,999.90,999.90,26.30,26.05,25.60,26.15,999.90,28.10,28.14,999.90,999.90,25.98,27.09,999.90
2009,26.79,28.64,999.90,28.09,27.99,26.65,25.34,25.21,26.39,27.12,28.06,28.64,27.86,28.25,25.73,27.19,27.26
2010,28.64,29.69,29.59,29.74,28.59,26.64,25.74,25.79,26.04,26.84,27.69,28.28,28.99,29.31,26.06,26.86,27.80
2011,28.33,27.68,29.14,28.72,27.68,26.23,25.48,24.88,25.73,26.65,27.98,27.87,28.10,28.51,25.53,26.79,27.23
2012,28.37,27.92,29.12,27.98,27.21,999.90,999.90,999.90,26.17,999.90,999.90,27.77,28.05,28.10,999.90,999.90,999.90
2013,27.89,28.32,29.61,28.56,26.96,26.11,24.97,25.36,25.86,27.46,28.06,26.86,27.99,28.38,25.48,27.13,27.24
2014,28.11,28.46,28.61,28.61,27.72,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.81,28.31,999.90,999.90,999.90
2015,999.90,999.90,999.90,999.90,999.90,26.24,25.66,25.57,25.93,27.01,27.76,28.28,999.90,999.90,25.82,26.90,999.90
2016,28.60,29.18,28.77,29.12,28.26,26.43,25.93,25.35,27.28,27.43,999.90,999.90,28.69,28.72,25.90,27.82,27.78
2017,28.20,28.56,28.78,28.66,28.62,26.87,25.67,25.06,25.70,27.39,999.90,27.80,28.29,28.69,25.87,27.01,27.46
2018,27.87,28.71,28.80,28.74,27.49,26.75,26.07,25.57,26.38,27.37,28.28,28.93,28.13,28.34,26.13,27.34,27.49
2019,28.81,29.04,29.21,29.04,27.90,26.64,25.95,26.36,26.31,26.54,28.17,28.80,28.93,28.72,26.32,27.01,27.74
2020,28.67,29.56,28.90,28.83,28.59,26.84,25.75,25.45,25.87,26.85,28.08,28.47,29.01,28.77,26.01,26.93,27.68
