YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1943,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,25.12,999.90,999.90,999.90,999.90,999.90
1944,24.57,26.22,26.47,27.07,26.92,25.92,25.02,24.32,25.17,25.72,26.32,26.12,25.30,26.82,25.09,25.74,25.74
1945,25.12,26.27,27.66,27.32,27.16,25.91,24.32,24.02,24.91,25.47,25.67,24.57,25.84,27.38,24.75,25.35,25.83
1946,24.82,26.91,27.17,27.62,27.16,25.52,24.07,22.92,24.62,25.02,26.02,24.97,25.43,27.32,24.17,25.22,25.53
1947,24.72,26.22,26.97,26.47,26.16,25.67,24.77,24.37,24.77,25.67,25.12,25.02,25.30,26.53,24.94,25.19,25.49
1948,24.12,26.32,27.07,26.42,26.17,24.92,24.07,23.41,24.07,25.82,25.77,25.11,25.15,26.55,24.13,25.22,25.26
1949,25.16,26.56,26.76,26.51,26.26,25.26,24.46,23.71,24.66,24.86,25.56,26.16,25.61,26.51,24.48,25.03,25.41
1950,24.81,26.26,27.26,26.65,26.31,25.41,24.21,23.36,24.01,25.15,25.51,25.65,25.74,26.74,24.33,24.89,25.42
1951,26.16,26.06,26.56,26.76,26.06,25.66,24.76,23.66,25.36,25.66,25.86,25.86,25.96,26.46,24.69,25.63,25.68
1952,25.40,27.15,27.26,26.71,26.26,25.06,23.96,23.21,24.65,25.31,25.71,25.16,26.14,26.74,24.08,25.22,25.54
1953,25.91,26.51,26.56,26.86,26.56,25.16,24.56,23.46,24.86,25.71,26.51,25.60,25.86,26.66,24.39,25.69,25.65
1954,25.15,27.05,26.89,26.14,26.05,25.35,23.50,23.55,25.05,25.64,26.45,26.50,25.93,26.36,24.13,25.71,25.53
1955,26.00,27.00,26.70,26.39,26.40,25.10,23.89,23.90,24.64,25.14,26.25,25.30,26.50,26.50,24.30,25.34,25.66
1956,25.65,26.85,26.40,26.75,26.00,25.25,23.70,23.20,24.95,25.39,26.14,25.89,25.93,26.38,24.05,25.49,25.46
1957,24.85,27.05,27.15,26.95,26.55,25.85,24.35,24.35,24.95,25.55,26.45,26.14,25.93,26.88,24.85,25.65,25.83
1958,26.54,26.74,27.24,27.44,26.74,24.74,23.54,23.44,24.44,25.64,26.34,25.24,26.47,27.14,23.91,25.47,25.75
